Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações
MSCI FRANCE,BEWQ,ISHARES MSCI FRANCE ETF,BOLSA,Homologado,000,20/04/2021,0,80.800.000,80.800.000
MSCI GERMANY,BEWG,ISHARES MSCI GERMANY ETF,BOLSA,Homologado,000,22/04/2021,0,251.100.000,251.100.000
BKR GBMM PRD,BPIC,ISHARES MSCI GLOBAL METALS & MINING PRODUCERS ETF,BOLSA,Homologado,000,12/07/2022,0,134.600.000,134.600.000
MSCIGLMIVOLF,BCWV,ISHARES MSCI GLOBAL MIN VOL FACTOR ETF,BOLSA,Homologado,000,19/04/2021,0,523.000.000,523.000.000
BKR GB SDVGO,BSDG,ISHARES MSCI GLOBAL SUSTAINABLE DEVELOP GOALS ETF,BOLSA,Homologado,000,12/07/2022,0,41.200.000,41.200.000
MSCIHONGKONG,BEWH,ISHARES MSCI HONG KONG ETF,BOLSA,Homologado,000,22/04/2021,0,137.925.000,137.925.000
MSCI INDIA,BNDA,ISHARES MSCI INDIA ETF,BOLSA,Homologado,000,22/04/2021,0,521.200.000,521.200.000
MSCI JAPAN,BEWJ,ISHARES MSCI JAPAN ETF,BOLSA,Homologado,000,22/04/2021,0,1.482.000.000,1.482.000.000
MSCI MEXICO,BEWW,ISHARES MSCI MEXICO ETF,BOLSA,Homologado,000,23/04/2021,0,103.200.000,103.200.000
BKR MSCI JPN,BEPP,ISHARES MSCI PACIFIC EX JAPAN ETF,BOLSA,Homologado,000,22/11/2022,0,200.400.000,200.400.000
BKR MS RUSS,BERU,ISHARES MSCI RUSSIA ETF,BOLSA,Homologado,000,06/09/2021,0,51.800.000,51.800.000
BKR SAUDARAB,BKSA,ISHARES MSCI SAUDI ARABIA ETF,BOLSA,Homologado,000,12/07/2022,0,113.200.000,113.200.000
MSCISOUTHKOR,BEWY,ISHARES MSCI SOUTH KOREA ETF,BOLSA,Homologado,000,23/04/2021,0,662.000.000,662.000.000
MSCI SPAIN,BEWP,ISHARES MSCI SPAIN ETF,BOLSA,Homologado,000,23/04/2021,0,56.250.000,56.250.000
MSCI SWITZER,BEWL,ISHARES MSCI SWITZERLAND ETF,BOLSA,Homologado,000,20/04/2021,0,171.875.000,171.875.000
MSCI TAIWAN,BEWT,ISHARES MSCI TAIWAN ETF,BOLSA,Homologado,000,23/04/2021,0,674.400.000,674.400.000
MSCI UK,BEWU,ISHARES MSCI UNITED KINGDOM ETF,BOLSA,Homologado,000,23/04/2021,0,344.700.000,344.700.000
BKR MS USA S,BUSA,ISHARES MSCI USA ESG SELECT ETF,BOLSA,Homologado,000,06/09/2021,0,375.000.000,375.000.000
MSCI US MVOL,BUSM,ISHARES MSCI USA MIN VOL FACTOR ETF,BOLSA,Homologado,000,23/04/2021,0,3.235.200.000,3.235.200.000
MSCIUSAMOM F,BMTU,ISHARES MSCI USA MOMENTUM FACTOR ETF,BOLSA,Homologado,000,20/04/2021,0,1.728.000.000,1.728.000.000
MSCIUSQUAL F,BQUA,ISHARES MSCI USA QUALITY FACTOR ETF,BOLSA,Homologado,000,20/04/2021,0,2.439.750.000,2.439.750.000
MSCIUSASIZF,BSIZ,ISHARES MSCI USA SIZE FACTOR ETF,BOLSA,Homologado,000,20/04/2021,0,120.750.000,120.750.000
MSCIUSVALUEF,BVLU,ISHARES MSCI USA VALUE FACTOR ETF,BOLSA,Homologado,000,20/04/2021,0,1.374.500.000,1.374.500.000
BKR MS WLD,BURT,ISHARES MSCI WORLD ETF,BOLSA,Homologado,000,06/09/2021,0,178.500.000,178.500.000
BKR NAM NATU,BIGE,ISHARES NORTH AMERICAN NATURAL RESOURCES ETF,BOLSA,Homologado,000,22/11/2022,0,88.600.000,88.600.000
PREFERINCOME,BPRS,ISHARES PREFERRED & INCOME SECURITIES ETF,BOLSA,Homologado,000,24/11/2020,0,1.882.800.000,1.882.800.000
BKR RESMULTS,BREZ,ISHARES RESIDENTIAL MULTISECTOR REAL ESTATE ETF,BOLSA,Homologado,000,12/07/2022,0,89.600.000,89.600.000
BKR ROBT AIM,BIRB,ISHARES ROBOTICS ARTIFICIAL INTELLIG MULTISECT ETF,BOLSA,Homologado,000,12/07/2022,0,18.000.000,18.000.000
RUSSEL1000GR,BIWF,ISHARES RUSSELL 1000 GROWTH ETF,BOLSA,Homologado,000,20/04/2021,0,6.467.500.000,6.467.500.000
RUSSELL 2000,BIWM,ISHARES RUSSELL 2000 ETF,BOLSA,Homologado,000,23/04/2021,0,6.087.000.000,6.087.000.000
BKR SP100,BOEF,ISHARES S&P 100 ETF,BOLSA,Homologado,000,06/09/2021,0,800.000.000,800.000.000
SP500GROWTH,BIVW,ISHARES S&P 500 GROWTH ETF,BOLSA,Homologado,000,20/04/2021,0,3.826.800.000,3.826.800.000
SP500 VALUE,BIVE,ISHARES S&P 500 VALUE ETF,BOLSA,Homologado,000,20/04/2021,0,2.286.000.000,2.286.000.000
BKR SPSM600V,BIJS,ISHARES S&P SMALL-CAP 600 VALUE ETF,BOLSA,Homologado,000,12/07/2022,0,724.400.000,724.400.000
SELECT DIVID,BDVY,ISHARES SELECT DIVIDEND ETF,BOLSA,Homologado,000,23/04/2021,0,1.558.000.000,1.558.000.000
BKR SELFDRIV,BIDR,ISHARES SELF-DRIVING EV AND TECH ETF,BOLSA,Homologado,000,12/07/2022,0,35.400.000,35.400.000
BKR SEMICOND,BSOX,ISHARES SEMICONDUCTOR ETF,BOLSA,Homologado,000,06/09/2021,0,634.000.000,634.000.000
BKR SHORT TR,BSHV,ISHARES SHORT TREASURY BOND ETF,BOLSA,Homologado,000,08/02/2022,0,1.283.100.000,1.283.100.000
SILVER TRUST,BSLV,ISHARES SILVER TRUST,BOLSA,Homologado,000,23/04/2021,0,1.848.900.000,1.848.900.000
BKR TIP,BTIP,ISHARES TIPS BOND ETF,BOLSA,Homologado,000,25/04/2023,0,2.055.000.000,2.055.000.000
BKR FLOT RTE,BTFL,ISHARES TREASURY FLOATING RATE BOND ETF,BOLSA,Homologado,000,25/04/2023,0,594.500.000,594.500.000
BKR BASICMAT,BIYM,ISHARES U.S. BASIC MATERIALS ETF,BOLSA,Homologado,000,22/11/2022,0,69.600.000,69.600.000
BKR US ENER,BIYE,ISHARES U.S. ENERGY ETF,BOLSA,Homologado,000,06/09/2021,0,240.900.000,240.900.000
USFINANCSERV,BIYG,ISHARES U.S. FINANCIAL SERVICES ETF,BOLSA,Homologado,000,20/04/2021,0,178.000.000,178.000.000
BKR HEALTHPR,BIHF,ISHARES U.S. HEALTHCARE PROVIDERS ETF,BOLSA,Homologado,000,22/11/2022,0,168.000.000,168.000.000
BKR HM CNSTR,BITB,ISHARES U.S. HOME CONSTRUCTION ETF,BOLSA,Homologado,000,22/11/2022,0,125.100.000,125.100.000
BKR US INDLS,BIYJ,ISHARES U.S. INDUSTRIALS ETF,BOLSA,Homologado,000,22/11/2022,0,110.500.000,110.500.000
USMEDICDEVIC,BIHI,ISHARES U.S. MEDICAL DEVICES ETF,BOLSA,Homologado,000,16/07/2021,0,4.494.000.000,4.494.000.000
US AEROSPACE,BAER,ISHARES US AEROSPACE & DEFENSE ETF,BOLSA,Homologado,000,23/04/2021,0,569.000.000,569.000.000
BKR CODISCRT,BIYC,ISHARES US CONSUMER DISCRETIONARY ETF,BOLSA,Homologado,000,12/07/2022,0,60.500.000,60.500.000
BKR COSTAPLE,BIYK,ISHARES US CONSUMER STAPLES ETF,BOLSA,Homologado,000,12/07/2022,0,122.400.000,122.400.000
FINANCEIRO DOS EUA,BIYF,ISHARES US FINANCIALS ETF,BOLSA,Homologado,000,23/04/2021,0,438.000.000,438.000.000
BKR INFRA EUA,BIFR,ETF DE INFRAESTRUTURA ISHARES US,BOLSA,Homologado,000,12/07/2022,0,151.200.000,151.200.000
BKR ÓLEO GÁS,BIEO,ISHARES US OIL & EXPLORAÇÃO DE GÁS & ETF DE PRODUÇÃO,BOLSA,Homologado,000,22/11/2022,0,120.500.000,120.500.000
BKR PHARMACL,BIHE,ISHARES EUA PHARMACEUTICALS ETF,BOLSA,Homologado,000,22/11/2022,0,40.500.000,40.500.000
TECNOLOGIA DOS EUA,BIYW,ETF DE TECNOLOGIA ISHARES US,BOLSA,Homologado,000,23/04/2021,0,2.749.250.000,2.749.250.000
BKR TRANSPTN,BIYP,ISHARES ETF DE TRANSPORTE DOS EUA,BOLSA,Homologado,000,22/11/2022,0,67.000.000,67.000.000
BKR EUA TREAS,BGOV,ISHARES ETF DE TÍTULOS DO TESOURO DOS EUA,BOLSA,Homologado,000,08/02/2022,0,1.949.700.000,1.949.700.000
BKR US UTILT,BUTL,ISHARES US UTILITIES ETF,BOLSA,Homologado,000,12/07/2022,0,94.000.000,94.000.000
BKR EUA VERDE,BBGR,ISHARES USD ETF DE TÍTULOS VERDES,BOLSA,Homologado,000,25/04/2023,0,32.750.000,32.750.000
AGORA IMA-B,IMAB,AGORA ID ETF IMA-B,BOLSA,Homologado,100,03/04/2019,0,37.600.000,37.600.000
AGORA B5P2,B5P2,AGORA IMA-B5 P2 FUNDO DE ÍNDICE,BOLSA,Homologado,100,05/11/2020,0,2.400.000,2.400.000
AGORA IB5M,IB5M,AGORA IMA-B5+ FUNDO DE ÍNDICE,BOLSA,Homologado,100,16/08/2019,0,11.764.706,11.764.706
AGORA IRF-M,IRFM,AGORA IRF-M P2 FUNDO DE ÍNDICE,BOLSA,Homologado,100,16/08/2019,0,3.200.000,3.200.000
ITAPEBI,ITPB,ITAPEBI GERAÇÃO DE ENERGIA S.A.,BOLSA,Homologado,"202.524.938,05",28/02/2023,85.060.474,0,85.060.474
FIAGRO RURA,RURA,ITAÚ ASSET RURAL FIAGRO IMOBILIÁRIO,BOLSA,Homologado,200,12/06/2023,0,160.099.509,160.099.509
FI ITAUINFRA,IFRA,ITAÚ FDO INV COTAS FDO INCENT DE INV INFR. RF CP,BOLSA,Homologado,200,14/03/2023,0,9.664.620,9.664.620
ITAUUNIBANCO,ITUB,ITAÚ UNIBANCO HOLDING S.A.,BOVESPA NÍVEL 1,Homologado,"90.729.000.000,00",31/01/2021,4.958.290.359,4.845.844.989,9.804.135.348
ITAÚSA,ITSA,ITAUSA S.A.,BOVESPA NÍVEL 1,Homologado,"63.500.000.000,00",07/11/2022,3.333.921.095,6.367.488.620,9.701.409.715
ITAÚSA,ITSA,ITAUSA S.A.,BOVESPA NÍVEL 1,Subscrito,"877.000.000,00",14/08/2023,46.366.756,88.556.321,134.923.077
J.MACEDO,JMCD,J. MACEDO SA,BOLSA,Homologado,"132.041.756,71",30/12/2019,10.674.856,8.692.854,19.367.710
JALLESMACHAD,JALL,JALLES MACHADO S.A.,NOVO MERCADO,Homologado,"1.079.191.949,03",15/08/2023,303.541.864,0,303.541.864
JBS,JBSS,JBS S.A.,NOVO MERCADO,Homologado,"23.631.071.304,24",11/05/2022,2.218.116.370,0,2.218.116.370
JHSF PART,JHSF,JHSF PARTICIPACOES S.A.,NOVO MERCADO,Homologado,"1.865.949.654,57",16/05/2022,679.328.541,0,679.328.541
JOAO FORTES,JFEN,JOAO FORTES ENGENHARIA S.A.,BOLSA,Homologado,"2.103.387.497,15",19/01/2023,21.040.763,0,21.040.763
JOSAPAR,JOPA,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,BOLSA,Homologado,"120.000.000,00",17/12/2009,10.450.993,131.368,10.582.361
JP BTB CANAD,BBCN,JPMORGAN BETABUILDERS CANADA ETF,BOLSA,Homologado,000,14/09/2022,0,600.293.400,600.293.400
JP BTB ASIA,BBAJ,JPMORGAN BETABUILDERS DEV ASIA PACIFIC-EX JPN ETF,BOLSA,Homologado,000,14/09/2022,0,398.493.200,398.493.200
JP BTB EUROP,BBER,JPMORGAN BETABUILDERS EUROPE ETF,BOLSA,Homologado,000,14/09/2022,0,299.498.000,299.498.000
JP BTB INTL,BBIL,JPMORGAN BETABUILDERS INTERNATIONAL EQUITY ETF,BOLSA,Homologado,000,14/09/2022,0,291.000.000,291.000.000
JP BTB JAPAO,BBJP,JPMORGAN BETABUILDERS JAPAN ETF,BOLSA,Homologado,000,14/09/2022,0,735.987.500,735.987.500
JP BTB REIT,BBMR,JPMORGAN BETABUILDERS MSCI US REIT ETF,BOLSA,Homologado,000,14/09/2022,0,113.500.000,113.500.000
JP BTB USEQ,BBUS,JPMORGAN BETABUILDERS US EQUITY ETF,BOLSA,Homologado,000,14/09/2022,0,136.800.000,136.800.000
JP BTB RETUR,BMCE,JPMORGAN BETABUILDERS US MID CAP EQUITY ETF,BOLSA,Homologado,000,14/09/2022,0,151.400.000,151.400.000
JP DV US EME,BPEM,JPMORGAN DIVERSIFIED RETURN EMERG MARKT EQUITY ETF,BOLSA,Homologado,000,14/09/2022,0,16.000.000,16.000.000
JP RETU INTL,BJPI,JPMORGAN DIVERSIFIED RETURN INTERNATION EQUITY ETF,BOLSA,Homologado,000,14/09/2022,0,74.500.000,74.500.000
JP DIVRET US,BPUS,JPMORGAN DIVERSIFIED RETURN US EQUITY ETF,BOLSA,Homologado,000,14/09/2022,0,54.000.000,54.000.000
JP DV USMID,BPME,JPMORGAN DIVERSIFIED RETURN US MID CAP EQUITY ETF,BOLSA,Homologado,000,14/09/2022,0,26.400.000,26.400.000
JP DV US SM,BDRE,JPMORGAN DIVERSIFIED RETURN US SMALLCAP EQUITY ETF,BOLSA,Homologado,000,14/09/2022,0,25.600.000,25.600.000
JP US MO FAC,BMOM,JPMORGAN US MOMENTUM FACTOR ETF,BOLSA,Homologado,000,14/09/2022,0,23.000.000,23.000.000
JP QLT FACT,BJQU,JPMORGAN US QUALITY FACTOR ETF,BOLSA,Homologado,000,14/09/2022,0,63.200.000,63.200.000
JP US VL FAC,BVLF,JPMORGAN US VALUE FACTOR ETF,BOLSA,Homologado,000,14/09/2022,0,61.200.000,61.200.000
JSL,JSLG,JSL S.A.,NOVO MERCADO,Homologado,"842.781.426,13",27/09/2021,286.431.078,0,286.431.078
KALLAS,KLAS,KALLAS INCORPORACOES E CONSTRUCOES S.A.,BOLSA,Homologado,"725.111.499,64",25/09/2023,120.229,0,120.229
KARSTEN,CTKA,KARSTEN S.A.,BOLSA,Homologado,"100.023.987,40",28/04/2016,2.878.404,3.326.971,6.205.375
KEPLER WEBER,KEPL,KEPLER WEBER S.A.,NOVO MERCADO,Homologado,"244.694.181,68",03/04/2023,179.720.130,0,179.720.130
FIAGRO KINEA,KNCA,KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,BOLSA,Homologado,200,09/06/2023,0,21.599.919,21.599.919
KINEA INFRAF,KDIF,KINEA INFRA - FDO INV COTAS FDO INC. INV INF RF CP,BOLSA,Homologado,100,15/05/2023,0,20.306.019,20.306.019
FIAGRO KOPA,KOPA,KINEA OPORTUNIDADES AGRO I FIAGRO-IMOB,BOLSA,Homologado,100,04/08/2023,0,500.000,500.000
KLABIN S/A,KLBN,KLABIN S.A.,BOVESPA NIVEL 2,Homologado,"4.475.624.836,00",26/11/2020,2.081.728.595,3.536.164.161,5.617.892.756
FIP IE KNOX,KNOX,KNOX DEBT FDO. INVEST. PART. INFRAESTRUTURA,FIP IE,Homologado,100,11/12/2020,0,10.000.000,10.000.000
KORA SAUDE,KRSA,KORA SAÚDE PARTICIPAÇÕES S.A,NOVO MERCADO,Homologado,"341.499.467,67",17/02/2023,773.348.067,0,773.348.067
LAVVI,LAVV,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,NOVO MERCADO,Homologado,"1.133.580.652,00",08/06/2022,199.534.352,0,199.534.352
FIAGRO LESTE,LSAG,LESTE FDO INV CAD PROD AGROIND FIAGRO IMOB,BOLSA,Homologado,100,03/08/2023,0,1.077.570,1.077.570
LIFEMED,LMED,LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,MAIS,Homologado,"73.435.885,26",15/03/2018,2.576.438,0,2.576.438
LIGHT S/A,LIGT,LIGHT S.A.,NOVO MERCADO,Homologado,"5.473.247.477,89",14/10/2022,372.555.324,0,372.555.324
LIGHT,LIGH,LIGHT SERVICOS DE ELETRICIDADE S.A.,BOLSA,Homologado,"5.544.283.669,87",30/09/2022,494.310.225.787,0,494.310.225.787
LITEL,LTEL,LITEL PARTICIPACOES S.A.,SOMA,Homologado,"21.844.245,97",14/09/2019,215.495.403,0,215.495.403
LITELA,LTLA,LITELA PARTICIPAÇÕES S.A.,SOMA,Homologado,"8.483.797.413,47",14/11/2019,196.713.125,0,196.713.125
WDC NETWORKS,LVTC,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A,NOVO MERCADO,Homologado,"317.890.422,77",10/02/2022,64.663.063,0,64.663.063
LOCALIZA,RENT,LOCALIZA RENT A CAR S.A.,NOVO MERCADO,Homologado,"17.012.360.759,33",26/06/2023,1.060.360.588,0,1.060.360.588
LOCALIZA,RENT,LOCALIZA RENT A CAR S.A.,NOVO MERCADO,Subscrito,"364.537.872,03",22/09/2023,7.734.731,0,7.734.731
UNIDAS,UNID,LOCAMERICA RENT A CAR S.A.,BOLSA,Homologado,"1.638.355.774,79",30/12/2022,77.550.555,0,77.550.555
LOCAWEB,LWSA,LOCAWEB SERVIÇOS DE INTERNET S.A.,NOVO MERCADO,Homologado,"3.013.866.202,18",30/06/2023,595.764.158,0,595.764.158
LOG COM PROP,LOGG,LOG COMMERCIAL PROPERTIES,NOVO MERCADO,Homologado,"2.753.976.285,73",19/04/2022,102.159.154,0,102.159.154
LOG-IN,LOGN,LOG-IN LOGISTICA INTERMODAL S.A.,NOVO MERCADO,Homologado,"1.346.587.321,06",10/05/2023,107.058.818,0,107.058.818
QUERO-QUERO,LJQQ,LOJAS QUERO-QUERO S/A,NOVO MERCADO,Homologado,"450.563.117,78",24/09/2020,187.290.269,0,187.290.269
LOJAS RENNER,LREN,LOJAS RENNER S.A.,NOVO MERCADO,Homologado,"9.022.276.536,63",16/03/2023,963.226.993,0,963.226.993
LOPES BRASIL,LPSB,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,NOVO MERCADO,Homologado,"169.187.891,38",21/05/2021,147.554.631,0,147.554.631
LUPATECH,LUPA,LUPATECH S.A.,NOVO MERCADO,Homologado,"1.918.116.891,95",04/10/2023,39.282.625,0,39.282.625
M.DIASBRANCO,MDIA,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,NOVO MERCADO,Homologado,"2.597.656.478,44",26/03/2021,339.000.000,0,339.000.000
MAESTROLOC,MSRO,MAESTRO LOCADORA DE VEICULOS S.A.,MAIS,Homologado,"55.500.633,05",10/04/2023,26.009.820,0,26.009.820
MAGAZ LUIZA,MGLU,MAGAZINE LUIZA S.A.,NOVO MERCADO,Homologado,"12.552.162.483,75",26/08/2021,6.748.926.848,0,6.748.926.848
METAL LEVE,LEVE,MAHLE-METAL LEVE S.A.,NOVO MERCADO,Homologado,"966.254.684,00",10/04/2012,128.308.500,0,128.308.500
MANGELS INDL,MGEL,MANGELS INDUSTRIAL S.A.,BOLSA,Homologado,"171.272.996,67",29/04/2016,2.067.243,3.715.969,5.783.212
ESTRELA,ESTR,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,BOLSA,Homologado,"30.602.186,56",27/04/2023,2.694.500,5.389.000,8.083.500
MARCOPOLO,POMO,MARCOPOLO S.A.,BOVESPA NIVEL 2,Homologado,"1.334.052.461,60",25/02/2019,341.625.744,605.267.138,946.892.882
MARFRIG,MRFG,MARFRIG GLOBAL FOODS S.A.,NOVO MERCADO,Homologado,"10.491.577.961,00",14/08/2023,960.000.000,0,960.000.000
LOJAS MARISA,AMAR,MARISA LOJAS S.A.,NOVO MERCADO,Homologado,"1.721.986.041,46",18/11/2022,342.842.912,0,342.842.912
MELIUZ,CASH,MÉLIUZ S.A.,NOVO MERCADO,Homologado,"920.480.260,01",19/09/2023,86.560.518,0,86.560.518
MELNICK,MELK,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,NOVO MERCADO,Homologado,"1.109.029.255,41",28/03/2023,206.269.341,0,206.269.341
METALFRIO,FRIO,METALFRIO SOLUTIONS S.A.,NOVO MERCADO,Homologado,"244.038.820,53",17/04/2017,4.106.754,0,4.106.754
GERDAU MET,GOAU,METALURGICA GERDAU S.A.,BOVESPA NIVEL 1,Homologado,"8.248.211.765,01",08/11/2022,365.111.201,668.729.603,1.033.840.804
RIOSULENSE,RSUL,METALURGICA RIOSULENSE S.A.,BOLSA,Homologado,"36.662.742,54",11/04/2023,3.576.903,2.495.225,6.072.128
METISA,MTSA,METISA METALURGICA TIMBOENSE S.A.,BOLSA,Homologado,"300.000.000,00",27/04/2022,4.212.530,4.577.200,8.789.730
MILLS,MILS,"MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A",NOVO MERCADO,Homologado,"1.091.560.302,39",22/08/2022,246.308.856,0,246.308.856
MINASMAQUINA,MMAQ,MINASMAQUINAS S.A.,BOLSA,Homologado,"186.866.256,94",22/04/2022,22.425,22.425,44.850
MINERVA,BEEF,MINERVA S.A.,NOVO MERCADO,Homologado,"1.678.785.544,94",12/01/2022,607.283.407,0,607.283.407
MINUPAR,MNPR,MINUPAR PARTICIPACOES S.A.,BOLSA,Homologado,"120.107.800,00",03/06/2016,7.100.100,0,7.100.100
MITRE REALTY,MTRE,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"1.014.824.026,00",03/02/2020,105.774.820,0,105.774.820
MOBLY,MBLY,MOBLY S.A.,NOVO MERCADO,Homologado,"1.124.973.604,00",03/02/2021,106.489.904,0,106.489.904
MONT ARANHA,MOAR,MONTEIRO ARANHA S.A.,BOLSA,Homologado,"716.837.898,75",01/04/2013,12.251.221,0,12.251.221
MOURA DUBEUX,MDNE,MOURA DUBEUX ENGENHARIA S/A,NOVO MERCADO,Homologado,"1.391.513.340,28",11/02/2019,84.909.375,0,84.909.375
MOVIDA,MOVI,MOVIDA PARTICIPACOES SA,NOVO MERCADO,Homologado,"2.630.122.185,60",31/12/2021,362.302.086,0,362.302.086
ESPACOLASER,ESPA,MPM CORPÓREOS S.A.,NOVO MERCADO,Homologado,"1.483.830.682,19",30/08/2022,361.423.066,0,361.423.066
MRS LOGIST,MRSA,MRS LOGISTICA S.A.,SOMA,Homologado,"3.961.030.948,65",26/04/2022,188.332.687,151.667.313,340.000.000
MRV,MRVE,MRV ENGENHARIA E PARTICIPACOES S.A.,NOVO MERCADO,Homologado,"5.975.961.822,75",13/07/2023,561.970.557,0,561.970.557
MULTILASER,MLAS,MULTILASER INDUSTRIAL S.A.,NOVO MERCADO,Homologado,"1.713.377.678,90",20/07/2021,820.539.225,0,820.539.225
MULTIPLAN,MULT,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,BOVESPA NIVEL 2,Homologado,"2.988.062.190,88",22/09/2023,600.760.875,0,600.760.875
MUNDIAL,MNDL,MUNDIAL S.A. - PRODUTOS DE CONSUMO,BOLSA,Homologado,"43.794.105,18",22/03/2013,2.480.260,0,2.480.260
CEPAC - MCRJ,MCRJ,MUNICÍPIO DO RIO DE JANEIRO,SOMA,Homologado,100,04/01/2011,0,26.086,26.086
GRUPO NATURA,NTCO,NATURA &CO HOLDING S.A.,NOVO MERCADO,Homologado,"12.697.285.074,75",10/10/2023,1.386.848.066,0,1.386.848.066
NATURA,NATU,NATURA COSMETICOS S.A.,BOLSA,Homologado,"2.000.000.000,00",26/06/2020,920.205.397,0,920.205.397
FIAGRO NCH,NCRA,NCH RECEBÍVEIS DO AGRONEGÓCIO FIAGRO IMOBILIÁRIO,BOLSA,Homologado,100,18/09/2023,0,4.079.106,4.079.106
FIAGRO NCH,NCRA,NCH RECEBÍVEIS DO AGRONEGÓCIO FIAGRO IMOBILIÁRIO,BOLSA,Subscrito,100,16/08/2023,0,2.822.202,2.822.202
NEOENERGIA,NEOE,NEOENERGIA S.A.,NOVO MERCADO,Homologado,"16.919.982.151,70",27/04/2023,1.213.797.248,0,1.213.797.248
NEOGRID,NGRD,NEOGRID PARTICIPACOES S.A.,NOVO MERCADO,Homologado,"469.907.564,00",15/12/2020,238.662.330,0,238.662.330
FIAGRO NEXG,NEXG,NEX CRÉDITO AGRO FDO INV CAD PROD AGRO FIAG IMOB,BOLSA,Homologado,100,21/09/2023,0,1.000.000,1.000.000
NEXPE,NEXP,NEXPE PARTICIPAÇÕES S.A,NOVO MERCADO,Homologado,"828.684.951,80",27/12/2022,2.655.569,0,2.655.569
NORDON MET,NORD,NORDON INDUSTRIAS METALURGICAS S.A.,BOLSA,Homologado,"107.838.227,50",29/04/2016,6.621.486,0,6.621.486
NORTCQUIMICA,NRTQ,NORTEC QUÍMICA S.A.,BOLSA,Homologado,"89.229.757,74",20/05/2021,11.758.622,118.773,11.877.395
NU INFRA FIC,NUIF,NU INFRA FIC INCENTIVADO EM INFRAESTRUTURA RF CP,BOLSA,Homologado,100,02/10/2023,0,532.125,532.125
NUTRIPLANT,NUTR,NUTRIPLANT INDUSTRIA E COMERCIO S.A.,MAIS,Homologado,"12.972.777,13",28/04/2023,13.244.400,0,13.244.400
OCEANPACT,OPCT,OCEANPACT SERVICOS MARITIMOS S.A.,NOVO MERCADO,Homologado,"842.999.412,29",10/02/2021,199.959.554,0,199.959.554
OCTANTE SEC,OCTS,OCTANTE SECURITIZADORA S.A.,BOLSA,Homologado,"134.889,00",20/03/2012,134.889,0,134.889
ODONTOPREV,ODPV,ODONTOPREV S.A.,NOVO MERCADO,Homologado,"851.016.554,14",05/04/2023,552.495.663,0,552.495.663
OI,OIBR,OI S.A.,BOVESPA NIVEL 1,Homologado,"32.538.937.370,00",01/12/2022,644.531.021,15.772.724,660.303.745
OMEGAENERGIA,MEGA,OMEGA ENERGIA S.A.,NOVO MERCADO,Homologado,"4.439.359.778,62",03/10/2022,622.730.556,0,622.730.556
ONCOCLINICAS,ONCO,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.,NOVO MERCADO,Homologado,"2.454.716.980,52",20/06/2023,527.481.598,0,527.481.598
OPEA,RBRA,OPEA SECURITIZADORA S.A.,SOMA,Homologado,"17.311.097,28",13/10/2021,7.927.248,0,7.927.248
FIP OPP HOLD,OPHF,OPPORTUNITY HOLDING FDO INV PART MULT INV NO EXT,SOMA,Homologado,100,12/05/2016,0,152.891.260,152.891.260
ORAMA INFRA,OGIN,ÓRAMA FIC DE FUND INCENT DE INV INFRAESTRUTURA RF,BOLSA,Homologado,100,10/10/2022,0,4.667.034,4.667.034
ORIZON,ORVR,ORIZON VALORIZAÇÃO DE RESIDUOS S.A.,NOVO MERCADO,Homologado,"1.091.126.956,34",27/04/2023,82.950.889,0,82.950.889
OSX BRASIL,OSXB,OSX BRASIL S.A.,NOVO MERCADO,Homologado,"35.263.600,00",27/11/2018,3.148.038,0,3.148.038
FIAGRO INNOV,OIAG,OURINVEST INOVAÇÃO FIAGRO IMOBILIÁRIO,BOLSA,Homologado,200,20/01/2023,0,9.032.999,9.032.999
OURINVESTSEC,OSEC,OURINVEST SECURITIZADORA SA,BOLSA,Homologado,"826.755,00",29/12/2016,826.755,0,826.755
OUROFINO S/A,OFSA,OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"599.823.731,62",14/04/2023,53.949.006,0,53.949.006
OXÔNIA,O7XZ,OXÔNIA SP PARTICIPAÇÕES S.A,OUTROS,Homologado,100,28/04/2023,1,1,2
PADTEC,PDTC,PADTEC HOLDING S.A.,NOVO MERCADO,Homologado,"199.218.937,08",08/09/2023,79.214.664,0,79.214.664
